Sigla da UF;Código do Município;Nome do Município;Código da Escola;CD_UNIDADE_EDUCACAO;DRE;Nome da Escola;NSE;Rede;taxa_aprov_1_a_5;taxa_aprov_1;taxa_aprov_2;taxa_aprov_3;taxa_aprov_4;taxa_aprov_5;indicador_rendimento_(P);provabr_matematica;provabr_portugues;provabr_media_padronizada;IDEB_2015_(N x P)
SP;3550308;São Paulo;35056996;19262;Butantã;CEU EMEF BUTANTA;54.75;Municipal;97.4;98.7;97.4;96.9;98.4;95.3;0.97;201.84;190.60;5.28;5.1
SP;3550308;São Paulo;35246360;19551;Butantã;CEU EMEF CESAR ARRUDA CASTANHO DEP;51.81;Municipal;94.6;100.0;98.9;78.7;97.6;99.0;0.94;220.53;216.16;6.10;5.7
SP;3550308;São Paulo;35053173;92754;Butantã;EMEF ALCIDES GONCALVES ETCHEGOYEN GEN;52.53;Municipal;97.5;98.8;96.5;97.8;97.1;97.2;0.97;212.37;205.98;5.76;5.6
SP;3550308;São Paulo;35053284;92746;Butantã;EMEF ALIPIO ANDRADA SERPA TTE;53.41;Municipal;94.7;98.5;98.5;79.7;100.0;100.0;0.95;233.83;226.14;6.54;6.2
SP;3550308;São Paulo;35098462;191;Butantã;EMEF ALIPIO CORREA NETO PROF;51.88;Municipal;95.2;100.0;100.0;83.1;100.0;98.4;0.96;216.51;215.81;6.02;5.8
SP;3550308;São Paulo;35053181;92827;Butantã;EMEF ALVARO SILVA BRAGA GEN;52.26;Municipal;97.9;100.0;100.0;92.4;100.0;97.3;0.98;207.02;201.42;5.58;5.5
SP;3550308;São Paulo;35053144;92690;Butantã;EMEF AMORIM LIMA DES;58.79;Municipal;96.5;98.6;97.1;92.8;97.3;97.6;0.97;221.70;219.91;6.19;6.0
SP;3550308;São Paulo;35053156;92720;Butantã;EMEF ARTHUR WHITAKER DES;53.39;Municipal;94.6;100.0;100.0;77.9;98.8;96.9;0.94;209.88;207.29;5.74;5.4
SP;3550308;São Paulo;35053132;92819;Butantã;EMEF BRASIL-JAPAO;51.07;Municipal;92.4;93.7;95.7;86.8;87.5;96.1;0.92;201.48;193.51;5.33;4.9
SP;3550308;São Paulo;35281438;19249;Butantã;EMEF DAISY AMADIO FUJIWARA PROFA;52.03;Municipal;96.6;89.5;98.7;94.6;100.0;98.9;0.96;214.83;207.57;5.84;5.6
SP;3550308;São Paulo;35053235;92711;Butantã;EMEF DEODORO DA FONSECA MAL;58.65;Municipal;99.5;98.8;98.9;100.0;100.0;100.0;1.00;236.31;230.25;6.66;6.6
SP;3550308;São Paulo;35098474;477;Butantã;EMEF EDA TEREZINHA CHICA MEDEIROS PROFA;52.42;Municipal;96.5;96.2;100.0;90.5;98.0;98.5;0.97;208.75;207.76;5.73;5.5
SP;3550308;São Paulo;35092794;97047;Butantã;EMEF EDUCANDARIO DOM DUARTE ANEXA AO;53.62;Municipal;98.3;100.0;96.6;96.9;100.0;97.0;0.98;210.39;194.24;5.51;5.4
SP;3550308;São Paulo;35053193;92851;Butantã;EMEF EUCLYDES DE OLIVEIRA FIGUEIREDO GEN;57.80;Municipal;96.6;100.0;100.0;86.2;100.0;100.0;0.97;233.77;220.02;6.43;6.2
SP;3550308;São Paulo;35053200;92801;Butantã;EMEF IBRAHIM NOBRE;51.27;Municipal;95.7;100.0;95.7;87.6;98.4;100.0;0.96;205.35;190.61;5.35;5.1
SP;3550308;São Paulo;35224236;19160;Butantã;EMEF ILEUSA CAETANO DA SILVA PROFA;52.50;Municipal;98.9;100.0;100.0;95.9;100.0;100.0;0.99;246.63;230.78;6.87;6.8
SP;3550308;São Paulo;35428848;19417;Butantã;EMEF JARDIM PAULO VI;51.40;Municipal;94.8;97.6;98.8;86.3;98.6;94.4;0.95;209.35;194.92;5.50;5.2
SP;3550308;São Paulo;35053211;92762;Butantã;EMEF JOAO XXIII;52.28;Municipal;99.1;100.0;100.0;97.0;98.9;100.0;0.99;228.75;224.24;6.41;6.4
SP;3550308;São Paulo;35053995;92681;Butantã;EMEF JOSE DE ALCANTARA MACHADO FILHO;49.43;Municipal;92.5;93.8;92.5;90.8;92.9;93.1;0.93;196.68;177.96;4.95;4.6
SP;3550308;São Paulo;35053405;93165;Butantã;EMEF JOSE DIAS DA SILVEIRA DR;53.08;Municipal;92.3;98.7;96.3;69.0;98.2;100.0;0.91;220.05;212.59;6.03;5.5
SP;3550308;São Paulo;35053223;92797;Butantã;EMEF JULIO MESQUITA;59.25;Municipal;97.8;100.0;100.0;91.8;98.0;100.0;0.98;227.16;222.99;6.35;6.2
SP;3550308;São Paulo;35053259;92789;Butantã;EMEF LUIZ EDUARDO MATARAZZO CDE;51.21;Municipal;96.2;98.1;98.9;91.6;96.2;96.6;0.96;219.47;209.87;5.97;5.7
SP;3550308;São Paulo;35076181;11924;Butantã;EMEF MARIA ALICE BORGES GHION PROFA;53.31;Municipal;93.3;98.3;100.0;72.3;100.0;100.0;0.93;225.09;211.60;6.11;5.7
SP;3550308;São Paulo;35053512;93131;Butantã;EMEF MARIA ANTONIETA DALKIMIN BASTO PROFA;54.68;Municipal;96.5;100.0;100.0;85.7;97.9;96.6;0.96;235.92;235.60;6.75;6.5
SP;3550308;São Paulo;35054707;93149;Butantã;EMEF OLAVO PEZZOTTI PROF;56.32;Municipal;98.1;95.8;100.0;95.6;98.0;100.0;0.98;231.16;225.52;6.48;6.3
SP;3550308;São Paulo;35098486;99589;Butantã;EMEF PEDRO NAVA;52.14;Municipal;95.3;100.0;98.3;80.3;100.0;100.0;0.95;213.97;198.87;5.66;5.4
SP;3550308;São Paulo;35053260;92843;Butantã;EMEF ROBERTO MANGE PROF;49.94;Municipal;93.1;87.5;98.8;81.4;100.0;100.0;0.93;209.52;201.65;5.63;5.2
SP;3550308;São Paulo;35083963;92771;Butantã;EMEF SOLANO TRINDADE;53.10;Municipal;99.1;100.0;100.0;97.6;99.0;98.9;0.99;226.96;206.77;6.05;6.0
SP;3550308;São Paulo;35053272;92738;Butantã;EMEF TARSILA DO AMARAL;53.17;Municipal;99.7;100.0;100.0;98.9;100.0;100.0;1.00;215.44;209.07;5.88;5.9
SP;3550308;São Paulo;35095709;99261;Butantã;EMEF TEOFILO BENEDITO OTTONI;57.36;Municipal;98.3;100.0;100.0;92.6;98.5;100.0;0.98;231.46;227.12;6.51;6.4
SP;3550308;São Paulo;35053168;92703;Butantã;EMEF THEODOMIRO DIAS DES;54.12;Municipal;98.5;97.1;100.0;100.0;100.0;95.9;0.99;215.73;191.53;5.56;5.5
SP;3550308;São Paulo;35098498;99287;Butantã;EMEF VIANNA MOOG;50.10;Municipal;96.1;98.8;98.9;93.7;95.4;93.3;0.96;212.61;207.43;5.79;5.6
SP;3550308;São Paulo;35428851;19416;Butantã;EMEF VILA MUNCK;51.46;Municipal;98.3;100.0;100.0;92.0;100.0;100.0;0.98;222.43;223.35;6.27;6.2
SP;3550308;São Paulo;35356736;19361;Campo Limpo;CEU EMEF CANTOS DO AMANHECER;53.53;Municipal;98.9;100.0;100.0;96.3;98.5;100.0;0.99;216.55;212.72;5.96;5.9
SP;3550308;São Paulo;35060331;19303;Campo Limpo;CEU EMEF CASA BLANCA;55.33;Municipal;97.3;98.8;98.3;91.0;100.0;100.0;0.97;231.45;217.30;6.33;6.2
SP;3550308;São Paulo;35298232;19335;Campo Limpo;CEU EMEF FEITICO DA VILA;53.82;Municipal;96.4;100.0;99.2;88.5;96.8;99.2;0.97;213.75;209.29;5.85;5.6
SP;3550308;São Paulo;35060562;19308;Campo Limpo;CEU EMEF HERMES FERREIRA DE SOUZA;53.23;Municipal;97.7;100.0;96.9;94.8;99.0;97.9;0.98;216.92;201.64;5.77;5.6
SP;3550308;São Paulo;35399700;19383;Campo Limpo;CEU EMEF JOSE SARAMAGO;53.40;Municipal;96.1;98.9;96.9;95.5;96.1;94.5;0.96;221.81;217.01;6.14;5.9
SP;3550308;São Paulo;35356761;19360;Campo Limpo;CEU EMEF MARIO FITTIPALDI;53.64;Municipal;99.4;98.7;100.0;97.9;100.0;100.0;0.99;219.92;218.85;6.14;6.1
SP;3550308;São Paulo;35413012;19384;Campo Limpo;CEU EMEF PARAISOPOLIS;49.63;Municipal;97.5;98.6;99.4;93.8;96.7;98.7;0.97;221.57;199.74;5.82;5.7
SP;3550308;São Paulo;35356612;19362;Campo Limpo;CEU EMEF VILA DO SOL;51.92;Municipal;97.2;98.9;99.5;90.2;98.8;97.8;0.97;210.42;197.26;5.57;5.4
SP;3550308;São Paulo;35098619;99350;Campo Limpo;EMEF 22 DE MARCO;51.86;Municipal;90.9;97.6;98.4;74.2;98.5;98.0;0.92;222.80;209.91;6.03;5.6
SP;3550308;São Paulo;35053922;93017;Campo Limpo;EMEF ADHEMAR DE BARROS PREF;53.85;Municipal;97.8;100.0;98.9;91.8;98.7;100.0;0.98;213.96;207.24;5.82;5.7
SP;3550308;São Paulo;35087661;92991;Campo Limpo;EMEF AIRTON ARANTES RIBEIRO PROF;52.49;Municipal;96.7;96.5;97.8;94.0;100.0;96.0;0.97;226.45;214.07;6.18;6.0
SP;3550308;São Paulo;35201972;16713;Campo Limpo;EMEF ANNA SILVEIRA PEDREIRA;51.16;Municipal;97.7;100.0;100.0;93.8;98.0;97.4;0.98;216.52;213.56;5.98;5.8
SP;3550308;São Paulo;35098632;311;Campo Limpo;EMEF ANTONIO ALVES DA SILVA SG;51.23;Municipal;95.6;100.0;94.5;84.2;100.0;96.1;0.95;218.86;212.12;6.00;5.7
SP;3550308;São Paulo;35070185;92916;Campo Limpo;EMEF ANTONIO ESTANISLAU DO AMARAL;51.38;Municipal;98.6;98.9;100.0;95.5;100.0;99.0;0.99;231.93;222.70;6.44;6.4
SP;3550308;São Paulo;35418161;19434;Campo Limpo;EMEF CAMPO LIMPO II;51.09;Municipal;100.0;100.0;100.0;100.0;100.0;100.0;1.00;207.02;197.49;5.51;5.5
SP;3550308;São Paulo;35418213;19430;Campo Limpo;EMEF CAMPO LIMPO III;53.36;Municipal;98.3;100.0;100.0;92.4;95.5;100.0;0.97;224.82;213.89;6.14;6.0
SP;3550308;São Paulo;35054318;92878;Campo Limpo;EMEF CAROLINA RENNO RIBEIRO DE OLIVEIRA PROFA;53.04;Municipal;98.4;100.0;100.0;94.8;98.9;98.9;0.98;228.09;222.30;6.36;6.3
SP;3550308;São Paulo;35282376;19251;Campo Limpo;EMEF CASARAO;50.60;Municipal;93.1;96.0;100.0;71.4;100.0;96.6;0.91;209.05;190.95;5.43;5.0
SP;3550308;São Paulo;35242263;19372;Campo Limpo;EMEF CHACARA SONHO AZUL;51.99;Municipal;99.5;100.0;100.0;100.0;99.3;98.5;1.00;217.73;208.56;5.91;5.9
SP;3550308;São Paulo;35054324;92908;Campo Limpo;EMEF CLEMENTE PASTORE PROF;51.10;Municipal;91.4;97.2;98.4;80.0;94.5;91.0;0.92;219.29;209.96;5.97;5.5
SP;3550308;São Paulo;35068780;10421;Campo Limpo;EMEF CYRO ALBUQUERQUE DEP;54.41;Municipal;97.2;100.0;100.0;85.9;100.0;100.0;0.97;225.07;224.40;6.34;6.1
SP;3550308;São Paulo;35053909;93084;Campo Limpo;EMEF DE GAULLE GEN;49.86;Municipal;91.6;93.9;97.1;77.9;94.2;95.1;0.91;217.33;205.80;5.85;5.3
SP;3550308;São Paulo;35098565;99104;Campo Limpo;EMEF DEZOITO DO FORTE;54.19;Municipal;97.5;100.0;100.0;89.7;100.0;98.6;0.97;221.74;215.68;6.12;6.0
SP;3550308;São Paulo;35245159;19526;Campo Limpo;EMEF DONATO SUSUMU KIMURA;51.83;Municipal;;;;;;;;;;;
SP;3550308;São Paulo;35070191;92941;Campo Limpo;EMEF EUCLIDES DA CUNHA;53.28;Municipal;98.8;100.0;100.0;96.8;99.1;98.9;0.99;216.42;208.67;5.89;5.8
SP;3550308;São Paulo;35053946;93092;Campo Limpo;EMEF FAGUNDES VARELLA;51.28;Municipal;99.5;98.9;98.9;100.0;100.0;99.0;0.99;213.78;205.98;5.79;5.8
SP;3550308;São Paulo;35233961;19275;Campo Limpo;EMEF FRANCISCO REBOLO;48.96;Municipal;98.3;94.4;100.0;100.0;100.0;97.6;0.98;213.14;196.76;5.61;5.5
SP;3550308;São Paulo;35242248;19348;Campo Limpo;EMEF GIANFRANCESCO GUARNIERI;53.48;Municipal;100.0;100.0;100.0;100.0;100.0;100.0;1.00;213.57;202.87;5.73;5.7
SP;3550308;São Paulo;35245148;19500;Campo Limpo;EMEF HERBERT DE SOUZA - BETINHO;52.48;Municipal;94.8;98.5;98.3;85.2;99.0;96.9;0.95;225.99;220.75;6.29;6.0
SP;3550308;São Paulo;35053958;92959;Campo Limpo;EMEF IRACEMA MARQUES DA SILVEIRA PROFA;51.73;Municipal;95.4;100.0;98.4;83.8;99.2;99.2;0.96;215.17;208.40;5.86;5.6
SP;3550308;São Paulo;35359993;19370;Campo Limpo;EMEF JARDIM MITSUTANI I - PAULO PATARRA JORNALISTA;52.99;Municipal;95.0;96.2;98.8;87.6;99.0;97.0;0.96;237.88;225.05;6.60;6.3
SP;3550308;São Paulo;35098644;99228;Campo Limpo;EMEF JOAO PEDRO DE CARVALHO NETO DR;55.32;Municipal;95.2;98.3;100.0;83.8;97.1;100.0;0.95;214.37;211.06;5.89;5.6
SP;3550308;São Paulo;35054069;92932;Campo Limpo;EMEF JORGE AMERICANO PROF;51.94;Municipal;97.0;97.6;100.0;90.1;100.0;100.0;0.97;213.56;202.27;5.72;5.6
SP;3550308;São Paulo;35233959;19283;Campo Limpo;EMEF JOSE BLOTA JUNIOR DEP;51.08;Municipal;98.2;100.0;99.4;93.5;100.0;98.0;0.98;205.31;191.07;5.36;5.3
SP;3550308;São Paulo;35419746;19421;Campo Limpo;EMEF JOSE FRANCISCO CAVALCANTE PROF;53.73;Municipal;98.2;100.0;100.0;95.2;100.0;96.4;0.98;223.52;214.00;6.12;6.0
SP;3550308;São Paulo;35078785;12939;Campo Limpo;EMEF JOSE OLYMPIO PEREIRA FILHO;52.06;Municipal;96.1;100.0;98.7;84.4;100.0;97.2;0.96;201.74;192.99;5.32;5.1
SP;3550308;São Paulo;35054012;93041;Campo Limpo;EMEF LEONARDO VILLAS BOAS;53.00;Municipal;97.4;98.2;97.7;95.8;98.8;96.6;0.97;217.15;210.22;5.93;5.8
SP;3550308;São Paulo;35054070;92967;Campo Limpo;EMEF LEVY DE AZEVEDO SODRE PROF;51.24;Municipal;96.5;96.8;96.9;92.1;98.0;99.0;0.97;209.32;197.12;5.54;5.3
SP;3550308;São Paulo;35068834;10162;Campo Limpo;EMEF LORENCO MANOEL SPARAPAN PROF;51.93;Municipal;93.7;100.0;100.0;82.0;98.6;98.5;0.95;224.97;211.99;6.11;5.8
SP;3550308;São Paulo;35053818;93009;Campo Limpo;EMEF LUIZ TENORIO DE BRITO CEL;52.76;Municipal;98.1;98.6;98.4;92.7;98.8;100.0;0.98;227.28;218.77;6.28;6.1
SP;3550308;São Paulo;35419285;19422;Campo Limpo;EMEF M BOI MIRIM I;52.32;Municipal;98.5;97.0;96.6;98.1;100.0;100.0;0.98;219.57;218.61;6.13;6.0
SP;3550308;São Paulo;35429405;19423;Campo Limpo;EMEF M BOI MIRIM II;51.83;Municipal;97.1;98.8;100.0;93.3;96.7;97.4;0.97;216.41;207.66;5.87;5.7
SP;3550308;São Paulo;35418250;19424;Campo Limpo;EMEF M BOI MIRIM III;52.69;Municipal;99.5;100.0;100.0;98.5;100.0;98.6;0.99;210.88;205.44;5.72;5.7
SP;3550308;São Paulo;35249786;19712;Campo Limpo;EMEF MARIA BERENICE DOS SANTOS PROFA;54.38;Municipal;;;;;;;;;;;
SP;3550308;São Paulo;35233948;19267;Campo Limpo;EMEF MARIA RITA DE CASSIA PINHEIRO SIMOES BRAGA PROFA;51.99;Municipal;95.5;100.0;100.0;87.0;95.8;93.7;0.95;208.91;194.54;5.49;5.2
SP;3550308;São Paulo;35068779;10146;Campo Limpo;EMEF MARIA RITA LOPES PONTES - IRMA DULCE;51.88;Municipal;96.9;94.8;97.9;92.2;98.9;100.0;0.97;205.75;191.01;5.36;5.2
SP;3550308;São Paulo;35054094;92894;Campo Limpo;EMEF MARIO MARQUES DE OLIVEIRA PROF;52.42;Municipal;97.9;100.0;100.0;89.1;100.0;98.4;0.97;210.98;205.54;5.73;5.6
SP;3550308;São Paulo;35053797;92860;Campo Limpo;EMEF MARIO MOURA E ALBUQUERQUE BEL;51.48;Municipal;97.9;97.1;98.9;96.8;96.4;99.2;0.98;225.59;213.38;6.15;6.0
SP;3550308;São Paulo;35053824;92924;Campo Limpo;EMEF MARIO RANGEL CEL;52.90;Municipal;97.9;100.0;100.0;93.5;100.0;96.9;0.98;211.98;210.03;5.83;5.7
SP;3550308;São Paulo;35054021;93033;Campo Limpo;EMEF MAURICIO SIMAO;53.13;Municipal;96.8;100.0;96.8;92.8;98.5;97.0;0.97;225.44;218.54;6.24;6.1
SP;3550308;São Paulo;35068822;10154;Campo Limpo;EMEF MAURO FACCIO GONCALVES - ZACARIA;52.74;Municipal;98.0;100.0;100.0;96.9;98.5;95.3;0.98;216.14;219.07;6.07;6.0
SP;3550308;São Paulo;35419345;19431;Campo Limpo;EMEF MILLOR FERNANDES JORNALISTA;;Municipal;94.9;100.0;98.8;80.9;96.9;99.0;0.95;207.00;189.88;5.37;5.1
SP;3550308;São Paulo;35098577;99236;Campo Limpo;EMEF MODESTO SCAGLIUSI;53.26;Municipal;95.2;100.0;100.0;84.0;100.0;100.0;0.96;223.35;211.04;6.06;5.8
SP;3550308;São Paulo;35054100;92886;Campo Limpo;EMEF OLIVEIRA VIANA;51.58;Municipal;94.4;98.5;97.9;86.5;96.8;93.8;0.94;205.60;207.13;5.65;5.3
SP;3550308;São Paulo;35053934;92975;Campo Limpo;EMEF OTONIEL MOTA;49.76;Municipal;93.5;94.2;91.9;90.2;96.8;94.2;0.93;211.79;203.82;5.71;5.3
SP;3550308;São Paulo;35053831;93025;Campo Limpo;EMEF PALIMERCIO DE REZENDE CEL;52.14;Municipal;96.7;97.6;97.3;86.8;100.0;98.8;0.96;225.19;207.53;6.03;5.8
SP;3550308;São Paulo;35053880;93076;Campo Limpo;EMEF PAULO COLOMBO PEREIRA DE QUEIROZ DES;52.14;Municipal;97.7;98.0;100.0;89.8;98.9;100.0;0.97;226.11;219.51;6.27;6.1
SP;3550308;São Paulo;35207949;18830;Campo Limpo;EMEF PAULO FREIRE PROF;49.32;Municipal;94.7;98.5;97.6;90.5;91.0;93.0;0.94;221.80;207.89;5.98;5.6
SP;3550308;São Paulo;35513210;19492;Campo Limpo;EMEF PERATUBA II;;Municipal;96.3;98.3;99.5;89.9;98.7;94.9;0.96;214.53;206.82;5.82;5.6
SP;3550308;São Paulo;35446865;19466;Campo Limpo;EMEF PERIMETRAL;49.02;Municipal;96.7;98.5;92.3;93.8;100.0;;0.96;;;;
SP;3550308;São Paulo;35098589;99112;Campo Limpo;EMEF PRACINHAS DA FEB;55.80;Municipal;98.7;;100.0;95.7;100.0;99.4;0.99;230.03;225.64;6.46;6.4
SP;3550308;São Paulo;35053961;92983;Campo Limpo;EMEF PROCOPIO FERREIRA;50.12;Municipal;95.2;98.1;98.7;86.0;98.2;96.9;0.95;206.52;191.07;5.38;5.1
SP;3550308;São Paulo;35098590;99686;Campo Limpo;EMEF RICARDO VITIELLO PROF;53.81;Municipal;97.8;100.0;96.4;93.9;100.0;97.6;0.98;231.46;222.51;6.43;6.3
SP;3550308;São Paulo;35417440;19428;Campo Limpo;EMEF SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA;;Municipal;96.1;100.0;96.9;89.5;98.5;97.0;0.96;211.33;201.85;5.67;5.5
SP;3550308;São Paulo;35054033;93050;Campo Limpo;EMEF SYNESIO ROCHA MIN;53.69;Municipal;97.1;100.0;96.9;91.0;98.8;98.5;0.97;223.93;216.36;6.17;6.0
SP;3550308;São Paulo;35066308;566;Campo Limpo;EMEF TERESA MARGARIDA DA SILVA E ORTA;52.45;Municipal;96.9;100.0;98.2;94.3;98.6;94.8;0.97;220.83;209.31;5.98;5.8
SP;3550308;São Paulo;35280847;19247;Campo Limpo;EMEF TEREZINHA MOTA DE FIGUEIREDO;53.41;Municipal;97.2;100.0;100.0;84.9;100.0;100.0;0.97;230.81;217.50;6.32;6.1
SP;3550308;São Paulo;35200098;87319;Campo Limpo;EMEF THEODOMIRO MONTEIRO DO AMARAL PROF;52.67;Municipal;97.5;92.6;99.0;98.0;97.6;97.8;0.97;215.45;208.26;5.86;5.7
SP;3550308;São Paulo;35098607;281;Campo Limpo;EMEF VERA LUCIA FUSCO BORBA PROFA;54.01;Municipal;94.3;96.2;98.3;87.5;98.4;92.1;0.94;225.32;219.49;6.25;5.9
SP;3550308;São Paulo;35271226;19222;Campo Limpo;EMEF VEREMUNDO TOTH DOM;48.73;Municipal;96.2;97.5;98.5;86.0;99.2;96.8;0.95;214.38;204.75;5.78;5.5
SP;3550308;São Paulo;35054112;93068;Campo Limpo;EMEF ZULMIRA CAVALHEIRO FAUSTINO;51.12;Municipal;97.0;100.0;100.0;91.6;95.7;99.0;0.97;231.01;214.59;6.27;6.1
SP;3550308;São Paulo;35057125;19263;Capela do Socorro;CEU EMEF CIDADE DUTRA;57.94;Municipal;97.3;98.6;97.8;91.3;100.0;100.0;0.97;262.49;234.63;7.24;7.1
SP;3550308;São Paulo;35249804;19674;Capela do Socorro;CEU EMEF JARDIM ELIANA;51.48;Municipal;96.1;100.0;100.0;82.5;98.8;100.0;0.96;207.05;203.88;5.62;5.4
SP;3550308;São Paulo;35242202;19313;Capela do Socorro;CEU EMEF MANOEL VIEIRA DE QUEIROZ FILHO;53.43;Municipal;95.6;98.8;99.1;88.8;97.6;96.1;0.96;212.97;202.44;5.71;5.5
SP;3550308;São Paulo;35058452;19276;Capela do Socorro;CEU EMEF TRES LAGOS;53.12;Municipal;99.8;100.0;100.0;100.0;100.0;98.9;1.00;215.15;210.47;5.90;5.9
SP;3550308;São Paulo;35298293;19336;Capela do Socorro;CEU EMEF VILA RUBI;55.16;Municipal;95.9;100.0;100.0;86.3;98.6;95.2;0.96;214.70;206.54;5.82;5.6
SP;3550308;São Paulo;35054227;93327;Capela do Socorro;EMEF AFRANIO DE MELLO FRANCO DR;54.09;Municipal;98.8;98.6;100.0;95.6;100.0;100.0;0.99;218.48;204.91;5.86;5.8
